ID, TWEET, LABEL
40,"['بيل', 'كرس', 'لزم', 'لعب', 'غصب', 'عنهم', 'وبر']",joy
41,"['يرب', 'خيف', 'خبر', 'مره']",fear
42,"['يقع', 'حب', 'عقل', 'وجه']",love
43,"['اما', 'فتح', 'قنه', 'تذع', 'اوليمبياد', 'اقي', 'امر', 'صين', 'بيتنافسو', 'لعب', 'فرد', 'قرب', 'فيش', 'غيركو']",surprise
44,"['اقل', '12', 'دقق', 'اول', 'حلق', 'بلك', 'يرر', 'خيف', 'كمل', 'حيصير', 'سند', 'هيلب']",fear
45,"['علء', 'ابو', 'قسم', 'صاب', 'اوليمبياد', 'لسف', 'خسر', 'هرد', 'برض', 'بطل', 'هنتحبط']",sadness
46,"['شكل', 'مفيهاش', 'نوم', 'هنقعد', 'تبع', 'اوليمبياد', 'صبحاو', 'غلب', 'احن', 'بقي', 'صبح']",none
47,"['خيف', 'اصف', 'جنب']",fear
48,"['ربن', 'معا', 'احس', 'ربن', 'يتل', 'رحمتو', 'نقذ', 'طفل', 'سرط']",sympathy
49,"['صرخ', 'حطم', 'كهنو', 'سيس', 'سيس', 'يجه', 'سلط', 'فسد']",anger
50,"['نقل', 'عجب', 'عقل', 'خزعل', 'ذيع', 'بقن', 'افق', 'تبع', 'لمل', 'وزر', 'دخل', 'وكل', 'عجب', 'دول', 'لشي']",anger
51,"['1424', 'عون', 'صور', 'وجع']",sympathy
52,"['اتش', 'جاي', 'قدم', 'سود', 'وحد', 'اوليمبياد', 'يعن', 'نخب', 'سلانكتيه']",surprise
53,"['بقت', 'خيف', 'ربن', 'درج', 'خيف', 'اصل', 'فكر', 'صحب', 'صله', 'ورب', 'بقت', 'بخف']",fear
54,"['جاريدو', 'درب', 'بتع', 'بطخ', 'فضح', 'تشم', 'فين', 'زملكاويه', 'اصل', 'تعد', 'خسر', 'ليـ', 'كـد', 'يخي', 'عمر', 'احصل']",anger
55,"['اشء', 'حمد', 'كور', 'نظف', 'شيفو', 'توز', 'دفع', 'هجم', 'شئ', 'برد', 'قلب']",joy
56,"['برد', 'وفق', 'بقي', 'ولد', 'ايم', 'جيه', 'اوليمبياد', 'فضه', 'رونز']",none
57,['رهب'],surprise
58,"['باي', 'وري', 'ابن', 'جزم', 'يخد', 'سنه', 'اوليمبياد', 'فات']",none
59,"['وزر', 'جره', 'دعو', 'شرك', 'تثر', 'رفع', 'بنز', 'قدم', 'ادل', 'شده', 'ضرر', 'طبق', 'قان', 'رفع', 'اسعاربشكل', 'صطنع']",none
60,"['حجه', 'تجي', 'مره', 'كفي', 'جيت', 'حجه']",love
61,"['جمل', 'اقل', 'لحب', 'بحر', 'حب', 'صحب', 'لنب', 'ﷺ', 'قطف', 'بست', 'كفي', 'شرب', 'نهر', 'روي', 'فهن', 'خلي', 'شئب']",love
62,"['تخر', 'قوي', 'صلح', 'اوليمبياد', 'جيه', 'قرب', 'خلص', 'خسر', 'صلح', 'خسر']",sadness
63,"['ثـنـ', 'ميـداليـه', 'مصـريـ', 'حمد', 'يهب', 'رونز', 'رفع', 'ثقل', 'اوليمبياد', 'ريو', 'جانيرو', '2016']",none
64,"['اول', 'حب']",love
65,"['جمل', 'نزل', 'متع', 'حيه', 'جلس', 'سكت', 'وحد', 'تمل', 'نظر', 'سمء', 'هدء', 'تام', 'يوم']",joy
66,"['خف', 'جدت', 'ذره', 'وجع', 'رهق', 'نزل', 'عليها', 'تزل', 'تعب', 'رب', 'اشف', 'وخف', 'عنه', 'رره', 'ال…']",sympathy
67,"['ذيع', 'خيف', 'كلم', 'خيف', 'راي', 'جمهور', 'يرح', 'جمع']",fear
68,"['جيش', 'جان', 'شعب', 'جيز', 'سطر', 'لحم', 'عون', 'دعو', 'شعب', 'يمن', 'وكل', 'ضعف', 'نصر', 'خير', 'رجل', 'ارض', 'صدق']",sympathy
69,"['وضح', 'حكم', 'رعب', '1', '1', 'عوم', 'جنه', 'رفع', 'دعم', 'حرق', 'يوم', 'وحد', 'تقل']",fear
70,"['شكل', 'غلب', 'شعب', 'خيف', 'فضح', 'فسد', 'يجي', 'حرب', 'دمر', 'سرق', 'فهو', 'ضطر', 'طبل', 'فسد', 'سرق', 'نطق', 'لحق', 'تبق', 'قبر', 'وحد', 'زيد', 'رتب']",fear
71,"['تضح', 'وعن', 'دمع', 'سده', 'عشق', 'شير', 'يحي', 'SherenYehia', 'كمل', 'شير', 'StaracArabia']",joy
72,"['عشق', 'نهي']",love
73,"['احن', 'مبنلمسش', 'كور']",surprise
74,"['روج', 'تهد', 'لند', 'جبل', 'عيد', 'قلل', 'اسل', 'كثر']",joy
75,"['بورتريكيه', 'ونك', 'بوغ', 'صنع', 'ارخ', 'توج', 'اول', 'بلد', 'اوليمبياد', 'جلي', 'كيربر', '6', '1', '6', '4', 'برء']",none
76,"['MOSAD', 'رعب', 'ابن', 'تنك']",fear
77,"['يجر', 'جلد', 'جزر']",surprise
78,"['20', 'سنه', 'كسب', 'بطل', '5', 'رات', 'اوليمبياد', 'مرت', 'جمع', 'برك', 'ونس', 'الف', 'مره', 'TUN']",joy
79,"['امل', 'فرق', 'يدل', 'وحد', 'عرب', 'اوليمبياد', 'ولي', 'جيب', 'وحد', 'جنس', 'Rio2016']",none
80,"['معنديش', 'ابن', 'وسخ', 'يخل', 'فرح', 'فرح', 'يسط', 'طرق']",anger
81,"['ربن', 'ستر', 'خيف', 'دبح', 'بجد', 'وزر', 'صحه', 'هتقدر', 'قوم', 'كتر', 'خصص', 'بقش', 'نطق']",fear
82,"['ببا', 'فرح', 'زمل', 'كسب', 'ونا', 'عرف', 'فرح', 'علش', 'فرح', 'زعل', 'علش', 'زمل', 'كسب', 'وحس', 'بلي', 'عقق', 'ولد', 'هيجيل', 'فصم']",surprise
83,"['جمع', 'يرح', 'عالانستجرام', 'يلا', 'D', 'شرو', 'شير', 'يحي', '♥', 'SherenYehia', 'كمل', 'شير']",joy
84,['اهل'],surprise
85,"['جوا', 'خوف', 'كلم', 'ظرف', 'تبق', 'طرق']",fear
86,"['غفر', 'لغل', 'غاب', 'دنا', 'رحم', 'حشر', 'زمر', 'تحب', 'فيك', 'لقا', 'ردس', 'اعل', 'رب', 'حوت', 'تمم']",sympathy
87,"['طب', 'تغر']",surprise
88,"['كوسوفو', 'حصد', 'اول', 'يدل', 'ارخ', 'اول', 'شرك', 'اوليمبياد', 'طرق', 'مايليندا', 'جبت', '56', 'كجم', 'جودو']",none
89,"['12', 'لعب', 'تقل', 'بلايستيشن', 'ودي', 'فجا', 'اوليمبياد', 'وبس']",surprise
90,"['بسط', 'فشخ', 'لبن', 'جرب', 'اوليمبياد', 'شجع', 'جمهور', 'يهم']",joy
91,"['تطع', 'تقم', 'بحا', 'ريح', 'ونت', 'شهد', 'صئب', 'يعش', 'اهل', 'وكل', 'رفع', 'عنهم…']",sympathy
92,"['فكر', 'كبعث', 'جمهور', 'عرب', 'دخل', 'فاح', 'اوليمبياد', 'نكن', 'رفع', 'سعد']",surprise
93,"['بقل', 'لبو', 'عيز', 'عرب', 'ب2', 'ملي', 'جنه', 'قال', 'كلم', 'غرب', 'اوي']",surprise
94,"['هلي', 'روس', 'نشد', 'ملك', 'وقف', 'زله', 'الح', 'دعو', 'الح', 'عشوائ', 'جمع', 'رضي', 'حي', 'روس', 'عليها', 'صكك', 'وزر', 'لع…']",anger
95,"['حول', 'قوه', 'بله', 'ربن']",sympathy
96,"['ليش', 'طلع', 'خيمس', 'رودريغز', 'يعن', 'رسم', 'نشف', 'ودي', 'كثر', 'لعب', 'ظلم', 'شفت', 'ريل', 'درد']",anger
97,"['لحن', 'وصل', 'تشر', 'الك', 'وصل']",love
98,"['عوز', 'نمه', 'بشر', 'بجد', 'هزر', 'زيتيف', 'يرج', 'دهش', 'fake', 'فرج', 'اوليمبياد']",joy
99,"['طول', 'عمر', 'بحب', 'ريض', 'عمه', 'لعب', 'حجه', 'بحب', 'تبع', 'اوليمبياد', 'طول', 'عمر', 'فرق', 'معا', 'مين', 'كسب', 'فرق', 'معا', 'دول', 'اصل']",none
100,"['قلب', 'تلهف', 'رمدي❤️']",love
101,"['حلم', 'عمر', 'لطف', 'حقق', 'وسم', 'اهل', 'كون', 'حلم', 'كبر', 'دقق', 'شوف', 'بقي', 'كام', 'ملي']",sympathy
102,"['منح', 'حبئ', 'يمكن', 'خلل', 'نسي', 'ولئ', 'فقد', 'حبهم', 'لـ', 'عني', 'في…']",love
103,"['سلم', 'قلب']",joy
104,"['خبر', 'يقل', 'بنت', 'برازيليه', 'علب', 'غطس', 'طردو', 'اوليمبياد', 'عشن', 'نمت', 'لعب', 'جدف', 'رازيل', 'اوض', 'قره', 'اوليمبيه']",none
105,"['ولء', 'سيد', 'سلط', 'قبس', 'حفظ', 'متع', 'وفر', 'صحه', 'عفي', 'عمر', 'ديد']",love
106,"['kuw', 'شكر', 'وضح', 'عالموقع', 'ؤثر', 'كثر']",love
107,"['احب', 'تبك', 'وحب', 'وجه', 'غائ', 'وحز', 'نسء', 'وجو', 'جمل', 'تصر', 'جمل', 'يبك']",sadness
108,"['خيف', 'ايم', 'تنس', 'قوم']",fear
109,"['كهرباء', 'سمر', 'عقب', 'وطن', 'صيف', 'ريض']",anger
110,"['رب', 'لخا', 'وزد', 'وثب', 'وعل', 'عدء', 'دين', 'جمع', 'طال', 'ليل', 'ظلم', 'فار', 'يهم', 'عجب', 'قدر']",sympathy
111,"['58', 'خرت', 'حبا', 'قلب', 'تكن', 'غيب', 'وجع', 'ازل', 'قلب', 'عشق', 'رفق', 'قلب', 'عشق']",love
112,"['سعد', 'حظي', 'سمع', 'نيل', 'ريض', 'رفع', 'ثقل', 'اوليمبياداحا']",none
113,"['خلت', 'صحب', 'ربن', 'ربط', 'قلب', 'نقم', 'فجر', 'دول']",sympathy
114,"['سور', 'رحم', 'رحم', 'رجف', 'ايد', 'برد', 'وقل']",sympathy
115,"['خيف', 'يطل', 'تسج', 'مني', 'يخذ', 'كنك', 'شخص', 'هوب', 'يسا']",fear
116,"['هرد', 'يوم', 'عرب', 'اوليمبياد', 'بقي', 'يرب', 'داي', 'فرح']",joy
117,"['شخص', 'خيف', 'فتح', 'وقع', 'يشف', 'غيب']",fear
118,"['alnsr', 'قئد', 'حنك', 'خلق', 'حبب', 'جمع', 'تهل', 'سعد', 'واء', 'جمل', 'خشرم', 'حب', 'قدر', 'حرم']",love
119,"['ريت', 'لمر', 'الف', 'تغر', 'نبض', 'شعر', 'راك❤️', 'اول']",love
120,"['رجل', 'سحق', 'تبك', 'اجل', 'صدق', 'حزن', 'فرق', 'دائ', 'شرق', 'بدل', 'نزر', 'قبا']",sadness
121,"['KIDS', 'عجز', 'سان', 'وصف', 'حال', 'طفل', 'سور', 'نهم', 'غلب', 'نصر', 'طفل', 'سور', 'سور', 'يرب', 'صور', 'ؤلم', 'حمص', 'ثور', '…']",sympathy
122,"['فظ', 'حمد', 'اظهارخان03452498306', '0302070292']",anger
123,"['خيف', 'دخل', 'يتر', 'مو']",fear
124,"['الس', 'تقل', 'لقض', 'اشف', 'بيه', '3', 'ثوا', 'ابن', 'عملش', 'حجه', 'خدا', 'علا', 'قرر', 'زل']",sadness
125,"['قسه', 'لتك', 'دائ', 'عنو', 'قلب', 'يته', 'قلب', 'نبض', 'جمل', 'لحب', 'قسو', 'لان', 'خئف', 'عده', 'جرب', 'ؤلم']",fear
126,"['شخص', 'يمت', 'عرق', 'غلب', 'جيل', 'رسنال', 'هنر', 'يهن', 'رسنال', 'بـ', 'كلم', 'نجر', 'يهن', 'رسنال', 'بـ', 'فعل', 'ؤخر']",anger
127,"['امي', 'قدم', 'حسن', 'غمز', 'غلب', 'امر']",love
128,"['حجز', 'طول', 'اوي']",surprise
129,"['غرب', 'طير', 'امر', 'ذوق', 'خدم', 'تزه', 'تضر', 'سرع', 'خدم', 'امم']",joy
130,"['تسل', 'عيو', 'حدد', 'تمن', 'قلت', 'لقي', 'وجه', 'جلس', 'احب']",love
131,"['198masacre', 'نظم', 'اير', 'استبدادي', 'درج', 'اول', 'لبد', 'يجه', 'بقه', 'غضب']",anger
132,"['دخل', 'اوليمبياد', 'لسه', 'نبد', 'احن', 'عمل', 'تحد', 'لعب', 'دهب', 'دهب', 'دهب']",none
133,"['اشي', 'مرو', 'رجب', 'غلب', 'كمل', 'اوليمبياد', 'تحد', 'الد', 'هايتغير', 'كتوبر', 'امل', 'تهل', 'لدر', 'ثني', 'سذج']",none
134,"['تقل', 'فته', 'وفت', 'امي', 'ثنء', 'ولد', 'فخذ', 'اخر', 'فاس', 'ملو', 'جيد', 'ؤلم', 'لحد']",sadness
135,"['عرف', 'نسء', 'كرسم', 'تجد', 'وني', '3']",love
136,"['ارج', 'خرج', 'كره', 'قدم', 'اوليمبياد', 'عدل', 'هندوراس', 'هندوراس', 'تهل', 'فرق', 'هدف', 'Fotbal']",none
137,"['كسم', 'ريل', 'درد', 'يعم', 'D']",anger
138,"['قلت', 'احب', 'حرم', 'يثق', 'حمل', 'صدق', 'تبع', 'ووف', 'بهذا', 'عقد']",love
139,"['بدي', 'زيد', 'حمد', 'زول', 'نتو', 'صراصير', 'فيش', 'حسس']",anger
140,"['ناس', 'ضغط', 'دول', 'ربن', 'يتل', 'خصص', 'ضيق', 'اقل', 'حجه']",sympathy
141,"['كفء', 'شخص', 'وحد', 'عرف', 'عني', 'لحب']",love
142,"['10', 'حرر', 'قطف', 'عكم', 'قلب', 'قلب', 'قلب', 'عكم', 'سيف', 'سلل', 'عكم', 'عهد', 'تكن', 'وجه', 'و…']",sympathy
143,"['Copied', 'عمل', 'بنه', 'شمع', 'بنه', 'عمر', 'فكر', 'لسر', 'ورا', 'جمل', 'عمل', 'بنه', 'لسب']",surprise
144,"['هرد', '15', 'سنه', 'اهل', 'فشخ', 'ريل', 'درد', 'ستد', 'قهر']",joy
145,"['هتفشل', 'اوليمبياد', 'وضح', 'يعن']",none
146,"['سلم', 'مره', 'خيف', 'ومو', 'عرف', 'ابدارجوك', 'كون', 'عاي']",fear
147,"['l', 'bana', 'رضو', 'رضو', 'كمن', 'حصل', 'عكي', 'حاج', 'سبح']",surprise
148,"['عقل', 'طب', 'مين', 'هيدفع', 'ناس', 'لسج']",surprise
149,"['اتش', 'ارخ', 'باشمهندس', 'ديلبوترو', 'يفز', 'جمع', 'لحد', 'وحد', 'فضل', 'بري', 'تنس', 'اوليمبياد', 'Rio2016', 'tenis']",none
150,"['maher', 'متح', '✋']",fear
151,"['رفق', 'سوء', 'تحس', 'لسع', 'صطف', 'منفلوط']",sadness
152,"['رعب', 'يڤل', 'ناس', 'صلتل']",fear
153,"['مين', 'ابن', 'وسخ', 'رفع', 'سعد', 'بعث', 'اوليمبياد', 'عته']",anger
154,"['ابق', 'عرف', 'قيم', 'اول', 'تقل', 'عشن', 'خطر']",sadness
155,"['ليل', 'قمت', 'ترح', 'خيف', 'هالعالم', 'ترح']",fear
156,"['عود', 'يسء', 'سعد', 'يخي', 'غرب', 'درباو', 'وين', 'عنه', 'درباو', 'قعد', 'غلط', 'مهت']",anger
157,"['جمل', 'غندور', 'هدف', 'بره', 'زمل', 'اتش', 'انب', 'صحح', 'ضرب', 'جزء', 'زمل', 'صحح', 'ضرب', 'جزء', 'انب', 'صحح', 'يجب', 'طرد', 'حمد']",joy
158,"['صور', 'ذبح', 'عرض', 'جند', 'ضبط', 'سعد', 'يوم', 'امس', 'زحف', 'فشل', 'طول', 'حرض', 'سلم', 'يدي']",anger
159,"['بغض', 'نظر', 'شيء', 'يبق', 'وحد', 'شتمو', 'خرو', 'شغل', 'ترق', 'لعب', 'اوليمبياد', 'اصب', 'حبط', 'فيش', 'دعم']",sadness
160,"['ذبح', 'ربع', 'ربع', 'ربع', 'قصه', 'وطن', 'كرم', 'امه', 'يهن', 'نسؤ']",sadness
161,"['نجي', 'لرد', 'جمل', 'حتل', 'صدم', 'كوت', 'عهد', 'ملك', 'فهد', 'عرف', 'قصه', 'حقت', 'غزو', 'سعد', 'ردت', 'جمل']",anger
162,"['خدت', 'حاج', 'امت', 'هنجح', 'عيش', 'وحد', 'قعد', 'متح', 'ميدتيرم']",surprise
163,"['شير', 'صوت', 'صوت', 'طبع']",surprise
164,"['khafajia', '❈↝❤', '﴿', 'سـل', 'علـ', 'مـن', 'راي', 'لحب', 'عينـ', 'وعي', 'گدت', 'تجن']",love
165,"['شوف', 'عوز', 'عمل', 'واح', 'تفق', 'كلن', 'عمل', 'شير', 'يحي', 'كمل', 'شير', 'SherenYehia']",joy
166,"['اوليمبياد', 'ريض', 'عمم', 'سبل', 'كعرب', 'اعب', 'هنركز', 'عاه', 'كلن', 'هيعمل', 'حجه', 'سيب', 'ناس', 'حال', 'خلو', 'فجئ', 'Rio2016']",none
167,"['سهر', 'طري', 'طلع', 'شمس', 'وكل', 'جيت', 'بنم', 'شاق', 'كثر', '❤️', 'كلم']",love
168,"['يبق', 'كتم', 'ارق', 'واع', 'وجع']",sadness
169,"['طلع', 'عرف', 'امت', 'كثر', 'سنه']",joy
170,"['كام', 'حبي', 'اوليمبياد', 'لزم', 'عرف', 'عنو', 'عشن', 'نجب', 'لفه', 'خلد', 'نول', 'رضا']",none
171,"['يرب', 'سهل', 'اختباراتي', 'نوم', 'قدر', 'انم', 'خيف', 'سان', 'وحد', 'شيل', 'شي', 'يرب', 'اهذ']",fear
172,"['حرز', 'بحر', 'روت', 'جيب', 'اول', 'يدل', 'عرب', 'اوليمبياد', 'وقع', 'بهر']",none
173,"['q', 'خيف', 'تاسونامي']",fear
174,"['لخا', 'سلم', 'ضعف', 'نصر', 'عدك', 'عدو', 'يرب', 'سلم', 'فرج', 'عجل', 'امن', 'يرب']",sympathy
175,"['قدر', 'فتح']",joy
176,"['صدق', 'حجه', 'كبس', 'اكد', 'عيب', 'فيا']",sadness
177,"['طلع', 'عمل', 'لنس', 'بضن', 'كدا']",surprise
178,"['حست', 'بدف', 'غرب', 'اول', 'دخل']",surprise
179,"['ايم', 'تبق', 'خرا']",surprise
180,"['كلم', 'جرب', 'اوليمبياد']",none
181,"['يخص', 'اوليمبياد', 'بلي', 'ائي', 'تيج', 'فقر', 'بلي', 'ائي', 'يقل']",none
182,"['نصر', 'وسي', 'فرع', 'نصر', 'عبد', 'ظلم', 'ضعف', 'طغي', 'ارض', 'قوي', 'عزز', 'حكم', 'ليب', 'يمن', 'قدس']",sympathy
183,"['دلم', 'هاد', 'اوليمبياد', 'جات', 'شهر', '8']",none
184,"['مبتفرجش', 'اوليمبياد', 'كور', 'مبفهمهاش', 'ومش', 'معا', 'دخل', 'فلم', 'جدد', 'ومش', 'عرف', 'وكب', 'عصر', 'خلص']",sadness
185,"['فاح', 'اوليمبياد', 'امت']",none
186,"['لحب', 'امن', 'امن', 'لحب', 'يدم', '❤️']",love
187,"['✱', 'ㅤ', 'ㅤ', 'كثر', 'صوت', 'فرق', 'احس', 'بـ', 'دمع', 'صوت', 'نزل']",sadness
188,"['دخل', 'اوليمبياد', 'بـ', '25', 'لعب', 'عيز', 'سرق', 'سغل', 'فرص', 'بلد', 'رازيل', 'رازيل']",none
189,"['07', 'حرض', 'مين', 'ناس', 'ديخ', 'حرض', 'حرض', 'ايم', 'ثور', 'حنن', 'شعب', 'يبي', 'سعد', 'كثر', 'شيء', 'تغب']",love
190,"['ولئ', 'يمل', 'قلب', 'ليئ', 'حبه', 'تكون', 'يدي', 'دئم', 'دود', 'زير', 'ربع', 'ربع', 'حسن']",love
191,"['اغا', 'فكر', 'حجه', 'دلق', 'D']",joy
192,"['k0', 'وفق', 'سلط', 'عنز', 'وفق', 'يرب']",love
193,"['شبك', 'وقع']",surprise
194,"['دجوكوفيتش', 'بره', 'اوليمبياد', 'يرح', 'شوفل', 'كلب', 'بقي']",anger
195,"['طول', 'اوليمبياد', 'قضا', 'امت', 'هنفرح', 'بقي', 'بصت']",none
196,"['امت', 'عمر', 'فهم', 'تبع', 'ريض', 'تبع', 'اوليمبياد']",none
197,"['تحه', 'سئي', 'عطر', 'عطر', 'تحه', 'طيب', 'بطل', 'عرق', 'كلن', 'عكم', 'بطل', 'ندع', 'ثبت', 'حرر', 'ارض', 'وطن']",sympathy
198,"['فوز', 'كوبل', 'حمض']",surprise
199,"['خلص', 'بقه', 'سرع', 'خيف', 'اغر', 'شرح']",fear
200,"['Rio2016', 'صري', 'اوليمبياد', 'ثقف', 'سلم', 'فشل']",sadness
201,"['سبح', 'يجو', 'ايم', 'داق', 'جدا', 'اخر', 'يبظ', 'رخمو', 'كتر']",surprise
202,"['ريك', 'شبك', 'فضه', 'جمل', 'جدا', 'تحس', 'عرس', 'وخد', 'ركز', 'تني', 'اوليمبياد', 'ماتنفعش', 'طبع', 'مكن', 'تقل', 'دهب', 'احس', 'وشي']",none
203,"['لعب', 'اوليمبياد', 'دول', 'جتل', 'فرص', 'جنس', 'جنس', 'بلد', 'هفكر', 'لحظ', 'رفض']",none
204,"['فكر', 'حمد', 'وسي', 'دخل', 'اوليمبياد', 'هيخد', 'يدل']",none
205,"['احب', 'شخص', 'خذه', 'معك', 'دعك', 'هكذ', 'جمل', 'قرب']",love
206,"['حنن', 'يغن', 'سهر', 'عري', 'حسس', 'تبلد', 'خوف', 'صدت', 'جحف', 'غيب', 'احس', 'تحن', 'ترف']",sadness
207,"['روح', 'عبدالسلام', 'ورا', 'شمع', 'يعن', 'كنترول', 'كتر', 'نام', 'يوم', 'بسط', 'DoaElSebai', 'StaracArabia']",sadness
208,"['ربي', 'رفق', 'احب', 'قرب', 'لقء', 'حرم', 'بحا', 'وحد', 'قلب', 'سكع', 'نمر', 'نبض', 'غرد']",love
209,"['خيف', 'بقو', 'كمن', 'لسب', 'جهل']",fear
210,"['دخل', 'اوليمبياد', '25', 'ريض', 'يعن', 'فرص', 'عوز', 'سرق', 'بلد', 'رازيل', '\U000fe338']",none
211,"['سؤل', 'زمن', 'جنه', 'اوليمبيه', 'تجب', 'يعن', 'فيش', 'حقق', 'بث', 'تبع', 'رقم', 'كبر', 'علن', 'اوليمبياد']",surprise
212,"['تنم', 'ينم', 'قلب', 'عثر', 'قلب', 'تهد', 'شتق']",sadness
213,"['DoaElSebai', 'حيت', 'دعء', 'بحب', 'اوي', 'حبب', 'مستنياكي', 'نار']",joy
214,"['تحه', 'صمد', 'لكل', 'وحد', 'عيش', 'لحد', 'دلق', 'شربش', 'شيش', 'يحش', 'جرب', 'نوع', 'خدر', 'علش', 'يجه', 'وقع']",sadness
215,"['خصص', 'مكه', 'نهي', 'ونت', 'رعب']",fear
216,"['تلن', '196', 'عظم', 'نال', 'شرف', 'شعل', 'سطر', 'رحل', 'حمد', 'شهد', 'شعل', 'رجف', 'يده', 'تمح', 'ذكر', 'ع…']",sympathy
